,ages_ranges,genders,behavior,scholarities,audience,topic,location
7344,18-24,1.0,Expats,Graduated,30,Humanitarian Aid,Alabama
7345,25-44,1.0,Expats,Graduated,140,Humanitarian Aid,Alabama
7346,45+,1.0,Expats,Graduated,80,Humanitarian Aid,Alabama
7347,18-24,2.0,Expats,Graduated,20,Humanitarian Aid,Alabama
7348,25-44,2.0,Expats,Graduated,120,Humanitarian Aid,Alabama
7349,45+,2.0,Expats,Graduated,90,Humanitarian Aid,Alabama
7350,18-24,1.0,Expats,No Degree,20,Humanitarian Aid,Alabama
7351,25-44,1.0,Expats,No Degree,90,Humanitarian Aid,Alabama
7352,45+,1.0,Expats,No Degree,40,Humanitarian Aid,Alabama
7353,18-24,2.0,Expats,No Degree,20,Humanitarian Aid,Alabama
7354,25-44,2.0,Expats,No Degree,80,Humanitarian Aid,Alabama
7355,45+,2.0,Expats,No Degree,40,Humanitarian Aid,Alabama
7356,18-24,1.0,Expats,High School,20,Humanitarian Aid,Alabama
7357,25-44,1.0,Expats,High School,60,Humanitarian Aid,Alabama
7358,45+,1.0,Expats,High School,20,Humanitarian Aid,Alabama
7359,18-24,2.0,Expats,High School,20,Humanitarian Aid,Alabama
7360,25-44,2.0,Expats,High School,80,Humanitarian Aid,Alabama
7361,45+,2.0,Expats,High School,40,Humanitarian Aid,Alabama
7362,18-24,1.0,Locals,Graduated,130,Humanitarian Aid,Alabama
7363,25-44,1.0,Locals,Graduated,1100,Humanitarian Aid,Alabama
7364,45+,1.0,Locals,Graduated,2000,Humanitarian Aid,Alabama
7365,18-24,2.0,Locals,Graduated,290,Humanitarian Aid,Alabama
7366,25-44,2.0,Locals,Graduated,3700,Humanitarian Aid,Alabama
7367,45+,2.0,Locals,Graduated,4800,Humanitarian Aid,Alabama
7368,18-24,1.0,Locals,No Degree,50,Humanitarian Aid,Alabama
7369,25-44,1.0,Locals,No Degree,210,Humanitarian Aid,Alabama
7370,45+,1.0,Locals,No Degree,710,Humanitarian Aid,Alabama
7371,18-24,2.0,Locals,No Degree,140,Humanitarian Aid,Alabama
7372,25-44,2.0,Locals,No Degree,560,Humanitarian Aid,Alabama
7373,45+,2.0,Locals,No Degree,1600,Humanitarian Aid,Alabama
7374,18-24,1.0,Locals,High School,200,Humanitarian Aid,Alabama
7375,25-44,1.0,Locals,High School,550,Humanitarian Aid,Alabama
7376,45+,1.0,Locals,High School,1000,Humanitarian Aid,Alabama
7377,18-24,2.0,Locals,High School,530,Humanitarian Aid,Alabama
7378,25-44,2.0,Locals,High School,2100,Humanitarian Aid,Alabama
7379,45+,2.0,Locals,High School,2800,Humanitarian Aid,Alabama
7380,18-24,1.0,Expats,Graduated,20,Humanitarian Aid,Alaska
7381,25-44,1.0,Expats,Graduated,20,Humanitarian Aid,Alaska
7382,45+,1.0,Expats,Graduated,30,Humanitarian Aid,Alaska
7383,18-24,2.0,Expats,Graduated,20,Humanitarian Aid,Alaska
7384,25-44,2.0,Expats,Graduated,50,Humanitarian Aid,Alaska
7385,45+,2.0,Expats,Graduated,20,Humanitarian Aid,Alaska
7386,18-24,1.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7387,25-44,1.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7388,45+,1.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7389,18-24,2.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7390,25-44,2.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7391,45+,2.0,Expats,No Degree,20,Humanitarian Aid,Alaska
7392,18-24,1.0,Expats,High School,20,Humanitarian Aid,Alaska
7393,25-44,1.0,Expats,High School,20,Humanitarian Aid,Alaska
7394,45+,1.0,Expats,High School,20,Humanitarian Aid,Alaska
7395,18-24,2.0,Expats,High School,20,Humanitarian Aid,Alaska
7396,25-44,2.0,Expats,High School,20,Humanitarian Aid,Alaska
7397,45+,2.0,Expats,High School,20,Humanitarian Aid,Alaska
