,ages_ranges,genders,behavior,scholarities,audience,topic,country_code
0,18-24,1,Expats,Graduated,411931,NOTSELECTED,Alabama
1,25-44,1,Expats,Graduated,899110,NOTSELECTED,Alabama
2,45+,1,Expats,Graduated,230636,NOTSELECTED,Alabama
3,18-24,2,Expats,Graduated,247286,NOTSELECTED,Alabama
4,25-44,2,Expats,Graduated,242180,NOTSELECTED,Alabama
5,45+,2,Expats,Graduated,821791,NOTSELECTED,Alabama
6,18-24,1,Expats,No Degree,205254,NOTSELECTED,Alabama
7,25-44,1,Expats,No Degree,907929,NOTSELECTED,Alabama
8,45+,1,Expats,No Degree,23379,NOTSELECTED,Alabama
9,18-24,2,Expats,No Degree,864213,NOTSELECTED,Alabama
10,25-44,2,Expats,No Degree,690710,NOTSELECTED,Alabama
11,45+,2,Expats,No Degree,129092,NOTSELECTED,Alabama
12,18-24,1,Expats,High School,600014,NOTSELECTED,Alabama
13,25-44,1,Expats,High School,616907,NOTSELECTED,Alabama
14,45+,1,Expats,High School,368286,NOTSELECTED,Alabama
15,18-24,2,Expats,High School,9710,NOTSELECTED,Alabama
16,25-44,2,Expats,High School,958727,NOTSELECTED,Alabama
17,45+,2,Expats,High School,67002,NOTSELECTED,Alabama
18,18-24,1,Locals,Graduated,852349,NOTSELECTED,Alabama
19,25-44,1,Locals,Graduated,944747,NOTSELECTED,Alabama
20,45+,1,Locals,Graduated,901624,NOTSELECTED,Alabama
21,18-24,2,Locals,Graduated,914027,NOTSELECTED,Alabama
22,25-44,2,Locals,Graduated,152827,NOTSELECTED,Alabama
23,45+,2,Locals,Graduated,859376,NOTSELECTED,Alabama
24,18-24,1,Locals,No Degree,754934,NOTSELECTED,Alabama
25,25-44,1,Locals,No Degree,778482,NOTSELECTED,Alabama
26,45+,1,Locals,No Degree,386993,NOTSELECTED,Alabama
27,18-24,2,Locals,No Degree,58593,NOTSELECTED,Alabama
28,25-44,2,Locals,No Degree,50528,NOTSELECTED,Alabama
29,45+,2,Locals,No Degree,417819,NOTSELECTED,Alabama
30,18-24,1,Locals,High School,921161,NOTSELECTED,Alabama
31,25-44,1,Locals,High School,111143,NOTSELECTED,Alabama
32,45+,1,Locals,High School,46975,NOTSELECTED,Alabama
33,18-24,2,Locals,High School,532833,NOTSELECTED,Alabama
34,25-44,2,Locals,High School,661106,NOTSELECTED,Alabama
35,45+,2,Locals,High School,736394,NOTSELECTED,Alabama
36,18-24,1,Expats,Graduated,297344,NOTSELECTED,Alaska
37,25-44,1,Expats,Graduated,272904,NOTSELECTED,Alaska
38,45+,1,Expats,Graduated,259489,NOTSELECTED,Alaska
39,18-24,2,Expats,Graduated,725286,NOTSELECTED,Alaska
40,25-44,2,Expats,Graduated,599456,NOTSELECTED,Alaska
41,45+,2,Expats,Graduated,332935,NOTSELECTED,Alaska
42,18-24,1,Expats,No Degree,25107,NOTSELECTED,Alaska
43,25-44,1,Expats,No Degree,491424,NOTSELECTED,Alaska
44,45+,1,Expats,No Degree,854095,NOTSELECTED,Alaska
45,18-24,2,Expats,No Degree,637487,NOTSELECTED,Alaska
46,25-44,2,Expats,No Degree,407416,NOTSELECTED,Alaska
47,45+,2,Expats,No Degree,289666,NOTSELECTED,Alaska
48,18-24,1,Expats,High School,277557,NOTSELECTED,Alaska
49,25-44,1,Expats,High School,804643,NOTSELECTED,Alaska
50,45+,1,Expats,High School,346308,NOTSELECTED,Alaska
51,18-24,2,Expats,High School,955927,NOTSELECTED,Alaska
52,25-44,2,Expats,High School,978411,NOTSELECTED,Alaska
53,45+,2,Expats,High School,223584,NOTSELECTED,Alaska
54,18-24,1,Locals,Graduated,14988,NOTSELECTED,Alaska
55,25-44,1,Locals,Graduated,27608,NOTSELECTED,Alaska
56,45+,1,Locals,Graduated,788929,NOTSELECTED,Alaska
57,18-24,2,Locals,Graduated,601569,NOTSELECTED,Alaska
58,25-44,2,Locals,Graduated,48174,NOTSELECTED,Alaska
59,45+,2,Locals,Graduated,574725,NOTSELECTED,Alaska
60,18-24,1,Locals,No Degree,910416,NOTSELECTED,Alaska
61,25-44,1,Locals,No Degree,691105,NOTSELECTED,Alaska
62,45+,1,Locals,No Degree,611676,NOTSELECTED,Alaska
63,18-24,2,Locals,No Degree,179639,NOTSELECTED,Alaska
64,25-44,2,Locals,No Degree,322798,NOTSELECTED,Alaska
65,45+,2,Locals,No Degree,902583,NOTSELECTED,Alaska
66,18-24,1,Locals,High School,346135,NOTSELECTED,Alaska
67,25-44,1,Locals,High School,15218,NOTSELECTED,Alaska
68,45+,1,Locals,High School,72187,NOTSELECTED,Alaska
69,18-24,2,Locals,High School,861564,NOTSELECTED,Alaska
70,25-44,2,Locals,High School,700866,NOTSELECTED,Alaska
71,45+,2,Locals,High School,96540,NOTSELECTED,Alaska
72,18-24,1,Expats,Graduated,902952,NOTSELECTED,Arizona
73,25-44,1,Expats,Graduated,847332,NOTSELECTED,Arizona
74,45+,1,Expats,Graduated,342583,NOTSELECTED,Arizona
75,18-24,2,Expats,Graduated,499133,NOTSELECTED,Arizona
76,25-44,2,Expats,Graduated,58544,NOTSELECTED,Arizona
77,45+,2,Expats,Graduated,5224,NOTSELECTED,Arizona
78,18-24,1,Expats,No Degree,217357,NOTSELECTED,Arizona
79,25-44,1,Expats,No Degree,355259,NOTSELECTED,Arizona
80,45+,1,Expats,No Degree,825057,NOTSELECTED,Arizona
81,18-24,2,Expats,No Degree,741644,NOTSELECTED,Arizona
82,25-44,2,Expats,No Degree,95613,NOTSELECTED,Arizona
83,45+,2,Expats,No Degree,517560,NOTSELECTED,Arizona
84,18-24,1,Expats,High School,500756,NOTSELECTED,Arizona
85,25-44,1,Expats,High School,332422,NOTSELECTED,Arizona
86,45+,1,Expats,High School,841917,NOTSELECTED,Arizona
87,18-24,2,Expats,High School,723822,NOTSELECTED,Arizona
88,25-44,2,Expats,High School,474774,NOTSELECTED,Arizona
89,45+,2,Expats,High School,574226,NOTSELECTED,Arizona
90,18-24,1,Locals,Graduated,367133,NOTSELECTED,Arizona
91,25-44,1,Locals,Graduated,197670,NOTSELECTED,Arizona
92,45+,1,Locals,Graduated,293549,NOTSELECTED,Arizona
93,18-24,2,Locals,Graduated,325171,NOTSELECTED,Arizona
94,25-44,2,Locals,Graduated,645589,NOTSELECTED,Arizona
95,45+,2,Locals,Graduated,247655,NOTSELECTED,Arizona
