,ages_ranges,genders,behavior,scholarities,audience,topic,country_code
12852,18-24,1,Expats,Graduated,541311,Bomb,Alabama
12853,25-44,1,Expats,Graduated,254010,Bomb,Alabama
12854,45+,1,Expats,Graduated,763069,Bomb,Alabama
12855,18-24,2,Expats,Graduated,581781,Bomb,Alabama
12856,25-44,2,Expats,Graduated,90414,Bomb,Alabama
12857,45+,2,Expats,Graduated,751214,Bomb,Alabama
12858,18-24,1,Expats,No Degree,7327,Bomb,Alabama
12859,25-44,1,Expats,No Degree,615676,Bomb,Alabama
12860,45+,1,Expats,No Degree,433209,Bomb,Alabama
12861,18-24,2,Expats,No Degree,235203,Bomb,Alabama
12862,25-44,2,Expats,No Degree,963337,Bomb,Alabama
12863,45+,2,Expats,No Degree,663160,Bomb,Alabama
12864,18-24,1,Expats,High School,929670,Bomb,Alabama
12865,25-44,1,Expats,High School,85118,Bomb,Alabama
12866,45+,1,Expats,High School,479697,Bomb,Alabama
12867,18-24,2,Expats,High School,615143,Bomb,Alabama
12868,25-44,2,Expats,High School,943700,Bomb,Alabama
12869,45+,2,Expats,High School,874129,Bomb,Alabama
12870,18-24,1,Locals,Graduated,684722,Bomb,Alabama
12871,25-44,1,Locals,Graduated,212251,Bomb,Alabama
12872,45+,1,Locals,Graduated,631397,Bomb,Alabama
12873,18-24,2,Locals,Graduated,305307,Bomb,Alabama
12874,25-44,2,Locals,Graduated,662742,Bomb,Alabama
12875,45+,2,Locals,Graduated,646164,Bomb,Alabama
12876,18-24,1,Locals,No Degree,487460,Bomb,Alabama
12877,25-44,1,Locals,No Degree,810429,Bomb,Alabama
12878,45+,1,Locals,No Degree,69014,Bomb,Alabama
12879,18-24,2,Locals,No Degree,943798,Bomb,Alabama
12880,25-44,2,Locals,No Degree,872746,Bomb,Alabama
12881,45+,2,Locals,No Degree,294767,Bomb,Alabama
12882,18-24,1,Locals,High School,224043,Bomb,Alabama
12883,25-44,1,Locals,High School,16654,Bomb,Alabama
12884,45+,1,Locals,High School,209656,Bomb,Alabama
12885,18-24,2,Locals,High School,478518,Bomb,Alabama
12886,25-44,2,Locals,High School,502837,Bomb,Alabama
12887,45+,2,Locals,High School,282499,Bomb,Alabama
12888,18-24,1,Expats,Graduated,861060,Bomb,Alaska
12889,25-44,1,Expats,Graduated,640792,Bomb,Alaska
12890,45+,1,Expats,Graduated,861522,Bomb,Alaska
12891,18-24,2,Expats,Graduated,803797,Bomb,Alaska
12892,25-44,2,Expats,Graduated,493376,Bomb,Alaska
12893,45+,2,Expats,Graduated,207515,Bomb,Alaska
12894,18-24,1,Expats,No Degree,470123,Bomb,Alaska
12895,25-44,1,Expats,No Degree,6432,Bomb,Alaska
12896,45+,1,Expats,No Degree,433799,Bomb,Alaska
12897,18-24,2,Expats,No Degree,663218,Bomb,Alaska
12898,25-44,2,Expats,No Degree,914563,Bomb,Alaska
12899,45+,2,Expats,No Degree,158010,Bomb,Alaska
12900,18-24,1,Expats,High School,601916,Bomb,Alaska
12901,25-44,1,Expats,High School,793742,Bomb,Alaska
12902,45+,1,Expats,High School,621479,Bomb,Alaska
12903,18-24,2,Expats,High School,864383,Bomb,Alaska
12904,25-44,2,Expats,High School,861047,Bomb,Alaska
12905,45+,2,Expats,High School,591685,Bomb,Alaska
12906,18-24,1,Locals,Graduated,221777,Bomb,Alaska
12907,25-44,1,Locals,Graduated,394742,Bomb,Alaska
12908,45+,1,Locals,Graduated,824366,Bomb,Alaska
12909,18-24,2,Locals,Graduated,805827,Bomb,Alaska
12910,25-44,2,Locals,Graduated,470480,Bomb,Alaska
12911,45+,2,Locals,Graduated,988954,Bomb,Alaska
12912,18-24,1,Locals,No Degree,53178,Bomb,Alaska
12913,25-44,1,Locals,No Degree,708519,Bomb,Alaska
12914,45+,1,Locals,No Degree,124170,Bomb,Alaska
12915,18-24,2,Locals,No Degree,505547,Bomb,Alaska
12916,25-44,2,Locals,No Degree,497895,Bomb,Alaska
12917,45+,2,Locals,No Degree,16527,Bomb,Alaska
12918,18-24,1,Locals,High School,440536,Bomb,Alaska
12919,25-44,1,Locals,High School,860369,Bomb,Alaska
12920,45+,1,Locals,High School,927701,Bomb,Alaska
12921,18-24,2,Locals,High School,884967,Bomb,Alaska
12922,25-44,2,Locals,High School,13970,Bomb,Alaska
12923,45+,2,Locals,High School,313652,Bomb,Alaska
12924,18-24,1,Expats,Graduated,665326,Bomb,Arizona
12925,25-44,1,Expats,Graduated,540836,Bomb,Arizona
12926,45+,1,Expats,Graduated,784390,Bomb,Arizona
12927,18-24,2,Expats,Graduated,859353,Bomb,Arizona
12928,25-44,2,Expats,Graduated,258227,Bomb,Arizona
12929,45+,2,Expats,Graduated,575880,Bomb,Arizona
12930,18-24,1,Expats,No Degree,919777,Bomb,Arizona
12931,25-44,1,Expats,No Degree,344658,Bomb,Arizona
12932,45+,1,Expats,No Degree,968267,Bomb,Arizona
12933,18-24,2,Expats,No Degree,743046,Bomb,Arizona
12934,25-44,2,Expats,No Degree,966614,Bomb,Arizona
12935,45+,2,Expats,No Degree,878801,Bomb,Arizona
12936,18-24,1,Expats,High School,10727,Bomb,Arizona
12937,25-44,1,Expats,High School,741378,Bomb,Arizona
12938,45+,1,Expats,High School,683594,Bomb,Arizona
12939,18-24,2,Expats,High School,468673,Bomb,Arizona
12940,25-44,2,Expats,High School,816555,Bomb,Arizona
12941,45+,2,Expats,High School,851602,Bomb,Arizona
12942,18-24,1,Locals,Graduated,446764,Bomb,Arizona
12943,25-44,1,Locals,Graduated,938758,Bomb,Arizona
12944,45+,1,Locals,Graduated,176297,Bomb,Arizona
12945,18-24,2,Locals,Graduated,296443,Bomb,Arizona
12946,25-44,2,Locals,Graduated,883255,Bomb,Arizona
12947,45+,2,Locals,Graduated,652660,Bomb,Arizona
12948,18-24,1,Locals,No Degree,648959,Bomb,Arizona
12949,25-44,1,Locals,No Degree,193055,Bomb,Arizona
12950,45+,1,Locals,No Degree,702413,Bomb,Arizona
12951,18-24,2,Locals,No Degree,346448,Bomb,Arizona
12952,25-44,2,Locals,No Degree,433610,Bomb,Arizona
12953,45+,2,Locals,No Degree,548643,Bomb,Arizona
12954,18-24,1,Locals,High School,370946,Bomb,Arizona
12955,25-44,1,Locals,High School,424203,Bomb,Arizona
12956,45+,1,Locals,High School,49614,Bomb,Arizona
12957,18-24,2,Locals,High School,329554,Bomb,Arizona
12958,25-44,2,Locals,High School,943390,Bomb,Arizona
12959,45+,2,Locals,High School,191492,Bomb,Arizona
12960,18-24,1,Expats,Graduated,195410,Bomb,Arkansas
12961,25-44,1,Expats,Graduated,581816,Bomb,Arkansas
12962,45+,1,Expats,Graduated,629006,Bomb,Arkansas
12963,18-24,2,Expats,Graduated,280187,Bomb,Arkansas
12964,25-44,2,Expats,Graduated,540149,Bomb,Arkansas
12965,45+,2,Expats,Graduated,500655,Bomb,Arkansas
12966,18-24,1,Expats,No Degree,938757,Bomb,Arkansas
12967,25-44,1,Expats,No Degree,353613,Bomb,Arkansas
12968,45+,1,Expats,No Degree,759757,Bomb,Arkansas
12969,18-24,2,Expats,No Degree,292309,Bomb,Arkansas
12970,25-44,2,Expats,No Degree,245663,Bomb,Arkansas
12971,45+,2,Expats,No Degree,473280,Bomb,Arkansas
12972,18-24,1,Expats,High School,234889,Bomb,Arkansas
12973,25-44,1,Expats,High School,708418,Bomb,Arkansas
12974,45+,1,Expats,High School,368418,Bomb,Arkansas
12975,18-24,2,Expats,High School,197012,Bomb,Arkansas
12976,25-44,2,Expats,High School,927726,Bomb,Arkansas
12977,45+,2,Expats,High School,697776,Bomb,Arkansas
12978,18-24,1,Locals,Graduated,305008,Bomb,Arkansas
12979,25-44,1,Locals,Graduated,700116,Bomb,Arkansas
12980,45+,1,Locals,Graduated,268758,Bomb,Arkansas
12981,18-24,2,Locals,Graduated,945144,Bomb,Arkansas
12982,25-44,2,Locals,Graduated,763494,Bomb,Arkansas
12983,45+,2,Locals,Graduated,28824,Bomb,Arkansas
12984,18-24,1,Locals,No Degree,108600,Bomb,Arkansas
12985,25-44,1,Locals,No Degree,160896,Bomb,Arkansas
12986,45+,1,Locals,No Degree,757382,Bomb,Arkansas
12987,18-24,2,Locals,No Degree,730358,Bomb,Arkansas
12988,25-44,2,Locals,No Degree,540928,Bomb,Arkansas
12989,45+,2,Locals,No Degree,474432,Bomb,Arkansas
12990,18-24,1,Locals,High School,679813,Bomb,Arkansas
12991,25-44,1,Locals,High School,704475,Bomb,Arkansas
12992,45+,1,Locals,High School,873952,Bomb,Arkansas
12993,18-24,2,Locals,High School,443279,Bomb,Arkansas
12994,25-44,2,Locals,High School,476074,Bomb,Arkansas
12995,45+,2,Locals,High School,888984,Bomb,Arkansas
12996,18-24,1,Expats,Graduated,80678,Bomb,California
12997,25-44,1,Expats,Graduated,539479,Bomb,California
12998,45+,1,Expats,Graduated,507537,Bomb,California
12999,18-24,2,Expats,Graduated,522610,Bomb,California
13000,25-44,2,Expats,Graduated,37524,Bomb,California
13001,45+,2,Expats,Graduated,486036,Bomb,California
13002,18-24,1,Expats,No Degree,169726,Bomb,California
13003,25-44,1,Expats,No Degree,430954,Bomb,California
13004,45+,1,Expats,No Degree,369173,Bomb,California
13005,18-24,2,Expats,No Degree,716542,Bomb,California
