,ages_ranges,genders,behavior,scholarities,audience,topic,country_code
7344,18-24,1,Expats,Graduated,947493,Humanitarian Aid,Alabama
7345,25-44,1,Expats,Graduated,654466,Humanitarian Aid,Alabama
7346,45+,1,Expats,Graduated,497443,Humanitarian Aid,Alabama
7347,18-24,2,Expats,Graduated,699836,Humanitarian Aid,Alabama
7348,25-44,2,Expats,Graduated,188657,Humanitarian Aid,Alabama
7349,45+,2,Expats,Graduated,226048,Humanitarian Aid,Alabama
7350,18-24,1,Expats,No Degree,460245,Humanitarian Aid,Alabama
7351,25-44,1,Expats,No Degree,771623,Humanitarian Aid,Alabama
7352,45+,1,Expats,No Degree,640254,Humanitarian Aid,Alabama
7353,18-24,2,Expats,No Degree,164341,Humanitarian Aid,Alabama
7354,25-44,2,Expats,No Degree,683290,Humanitarian Aid,Alabama
7355,45+,2,Expats,No Degree,719621,Humanitarian Aid,Alabama
7356,18-24,1,Expats,High School,918802,Humanitarian Aid,Alabama
7357,25-44,1,Expats,High School,985515,Humanitarian Aid,Alabama
7358,45+,1,Expats,High School,955495,Humanitarian Aid,Alabama
7359,18-24,2,Expats,High School,915835,Humanitarian Aid,Alabama
7360,25-44,2,Expats,High School,892865,Humanitarian Aid,Alabama
7361,45+,2,Expats,High School,751104,Humanitarian Aid,Alabama
7362,18-24,1,Locals,Graduated,69920,Humanitarian Aid,Alabama
7363,25-44,1,Locals,Graduated,219279,Humanitarian Aid,Alabama
7364,45+,1,Locals,Graduated,931232,Humanitarian Aid,Alabama
7365,18-24,2,Locals,Graduated,588130,Humanitarian Aid,Alabama
7366,25-44,2,Locals,Graduated,203948,Humanitarian Aid,Alabama
7367,45+,2,Locals,Graduated,440375,Humanitarian Aid,Alabama
7368,18-24,1,Locals,No Degree,731059,Humanitarian Aid,Alabama
7369,25-44,1,Locals,No Degree,366236,Humanitarian Aid,Alabama
7370,45+,1,Locals,No Degree,570024,Humanitarian Aid,Alabama
7371,18-24,2,Locals,No Degree,969791,Humanitarian Aid,Alabama
7372,25-44,2,Locals,No Degree,395753,Humanitarian Aid,Alabama
7373,45+,2,Locals,No Degree,727706,Humanitarian Aid,Alabama
7374,18-24,1,Locals,High School,398469,Humanitarian Aid,Alabama
7375,25-44,1,Locals,High School,3439,Humanitarian Aid,Alabama
7376,45+,1,Locals,High School,117395,Humanitarian Aid,Alabama
7377,18-24,2,Locals,High School,960562,Humanitarian Aid,Alabama
7378,25-44,2,Locals,High School,979039,Humanitarian Aid,Alabama
7379,45+,2,Locals,High School,602361,Humanitarian Aid,Alabama
7380,18-24,1,Expats,Graduated,225534,Humanitarian Aid,Alaska
7381,25-44,1,Expats,Graduated,511789,Humanitarian Aid,Alaska
7382,45+,1,Expats,Graduated,773539,Humanitarian Aid,Alaska
7383,18-24,2,Expats,Graduated,628639,Humanitarian Aid,Alaska
7384,25-44,2,Expats,Graduated,666839,Humanitarian Aid,Alaska
7385,45+,2,Expats,Graduated,730802,Humanitarian Aid,Alaska
7386,18-24,1,Expats,No Degree,305397,Humanitarian Aid,Alaska
7387,25-44,1,Expats,No Degree,450297,Humanitarian Aid,Alaska
7388,45+,1,Expats,No Degree,45673,Humanitarian Aid,Alaska
7389,18-24,2,Expats,No Degree,922917,Humanitarian Aid,Alaska
7390,25-44,2,Expats,No Degree,125990,Humanitarian Aid,Alaska
7391,45+,2,Expats,No Degree,273282,Humanitarian Aid,Alaska
7392,18-24,1,Expats,High School,483527,Humanitarian Aid,Alaska
7393,25-44,1,Expats,High School,464739,Humanitarian Aid,Alaska
7394,45+,1,Expats,High School,542758,Humanitarian Aid,Alaska
7395,18-24,2,Expats,High School,205949,Humanitarian Aid,Alaska
7396,25-44,2,Expats,High School,421042,Humanitarian Aid,Alaska
7397,45+,2,Expats,High School,667454,Humanitarian Aid,Alaska
7398,18-24,1,Locals,Graduated,637872,Humanitarian Aid,Alaska
7399,25-44,1,Locals,Graduated,362474,Humanitarian Aid,Alaska
7400,45+,1,Locals,Graduated,216575,Humanitarian Aid,Alaska
7401,18-24,2,Locals,Graduated,604452,Humanitarian Aid,Alaska
7402,25-44,2,Locals,Graduated,144963,Humanitarian Aid,Alaska
7403,45+,2,Locals,Graduated,162553,Humanitarian Aid,Alaska
7404,18-24,1,Locals,No Degree,217493,Humanitarian Aid,Alaska
7405,25-44,1,Locals,No Degree,831992,Humanitarian Aid,Alaska
7406,45+,1,Locals,No Degree,706393,Humanitarian Aid,Alaska
