,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,topic,location
72,18-24,1.0,ALL,Graduated,NOTSELECTED,24000,Majot depressive disorder awareness,West Zone (rich)
73,18-24,1.0,ALL,No Degree,NOTSELECTED,13000,Majot depressive disorder awareness,West Zone (rich)
74,18-24,1.0,ALL,High School,NOTSELECTED,28000,Majot depressive disorder awareness,West Zone (rich)
75,18-24,1.0,ALL,Graduated,NOTSELECTED,21000,Majot depressive disorder awareness,East Zone (poor)
76,18-24,1.0,ALL,No Degree,NOTSELECTED,11000,Majot depressive disorder awareness,East Zone (poor)
77,18-24,1.0,ALL,High School,NOTSELECTED,23000,Majot depressive disorder awareness,East Zone (poor)
78,25-44,1.0,ALL,Graduated,NOTSELECTED,41000,Majot depressive disorder awareness,West Zone (rich)
79,25-44,1.0,ALL,No Degree,NOTSELECTED,11000,Majot depressive disorder awareness,West Zone (rich)
80,25-44,1.0,ALL,High School,NOTSELECTED,16000,Majot depressive disorder awareness,West Zone (rich)
81,25-44,1.0,ALL,Graduated,NOTSELECTED,30000,Majot depressive disorder awareness,East Zone (poor)
82,25-44,1.0,ALL,No Degree,NOTSELECTED,8200,Majot depressive disorder awareness,East Zone (poor)
83,25-44,1.0,ALL,High School,NOTSELECTED,13000,Majot depressive disorder awareness,East Zone (poor)
84,45+,1.0,ALL,Graduated,NOTSELECTED,6500,Majot depressive disorder awareness,West Zone (rich)
85,45+,1.0,ALL,No Degree,NOTSELECTED,3300,Majot depressive disorder awareness,West Zone (rich)
86,45+,1.0,ALL,High School,NOTSELECTED,1900,Majot depressive disorder awareness,West Zone (rich)
87,45+,1.0,ALL,Graduated,NOTSELECTED,5200,Majot depressive disorder awareness,East Zone (poor)
88,45+,1.0,ALL,No Degree,NOTSELECTED,3200,Majot depressive disorder awareness,East Zone (poor)
89,45+,1.0,ALL,High School,NOTSELECTED,2000,Majot depressive disorder awareness,East Zone (poor)
90,18-24,2.0,ALL,Graduated,NOTSELECTED,29000,Majot depressive disorder awareness,West Zone (rich)
91,18-24,2.0,ALL,No Degree,NOTSELECTED,20000,Majot depressive disorder awareness,West Zone (rich)
92,18-24,2.0,ALL,High School,NOTSELECTED,44000,Majot depressive disorder awareness,West Zone (rich)
93,18-24,2.0,ALL,Graduated,NOTSELECTED,24000,Majot depressive disorder awareness,East Zone (poor)
94,18-24,2.0,ALL,No Degree,NOTSELECTED,18000,Majot depressive disorder awareness,East Zone (poor)
95,18-24,2.0,ALL,High School,NOTSELECTED,37000,Majot depressive disorder awareness,East Zone (poor)
96,25-44,2.0,ALL,Graduated,NOTSELECTED,69000,Majot depressive disorder awareness,West Zone (rich)
97,25-44,2.0,ALL,No Degree,NOTSELECTED,22000,Majot depressive disorder awareness,West Zone (rich)
98,25-44,2.0,ALL,High School,NOTSELECTED,27000,Majot depressive disorder awareness,West Zone (rich)
99,25-44,2.0,ALL,Graduated,NOTSELECTED,50000,Majot depressive disorder awareness,East Zone (poor)
100,25-44,2.0,ALL,No Degree,NOTSELECTED,17000,Majot depressive disorder awareness,East Zone (poor)
101,25-44,2.0,ALL,High School,NOTSELECTED,23000,Majot depressive disorder awareness,East Zone (poor)
102,45+,2.0,ALL,Graduated,NOTSELECTED,22000,Majot depressive disorder awareness,West Zone (rich)
103,45+,2.0,ALL,No Degree,NOTSELECTED,14000,Majot depressive disorder awareness,West Zone (rich)
104,45+,2.0,ALL,High School,NOTSELECTED,7800,Majot depressive disorder awareness,West Zone (rich)
105,45+,2.0,ALL,Graduated,NOTSELECTED,17000,Majot depressive disorder awareness,East Zone (poor)
106,45+,2.0,ALL,No Degree,NOTSELECTED,15000,Majot depressive disorder awareness,East Zone (poor)
107,45+,2.0,ALL,High School,NOTSELECTED,8400,Majot depressive disorder awareness,East Zone (poor)
